Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
7003,2,298.1,308.6,1551,42.8,0,0,0,0,0,0
1003,1,298.2,308.7,1408,46.3,3,0,0,0,0,0
1004,1,298.1,308.5,1498,49.4,5,0,0,0,0,0
1005,1,298.2,308.6,1433,39.5,7,0,0,0,0,0
1006,1,298.2,308.7,1408,40.0,9,0,0,0,0,0
7004,2,298.1,308.6,1425,41.9,11,0,0,0,0,0
1007,1,298.1,308.6,1558,42.4,14,0,0,0,0,0
1008,1,298.1,308.6,1527,40.2,16,0,0,0,0,0
7005,2,298.3,308.7,1667,28.6,18,0,0,0,0,0
7006,2,298.5,309.0,1741,28.0,21,0,0,0,0,0
0,0,298.4,308.9,1782,23.9,24,0,0,0,0,0
1,0,298.6,309.1,1423,44.3,29,0,0,0,0,0
7007,2,298.6,309.1,1339,51.1,34,0,0,0,0,0
7008,2,298.6,309.2,1742,30.0,37,0,0,0,0,0
1009,1,298.6,309.2,2035,19.6,40,0,0,0,0,0
1010,1,298.6,309.2,1542,48.4,42,0,0,0,0,0
7009,2,298.6,309.2,1311,46.6,44,0,0,0,0,0
7010,2,298.7,309.2,1410,45.6,47,0,0,0,0,0
2,0,298.8,309.2,1306,54.5,50,0,0,0,0,0
7011,2,298.9,309.3,1632,32.5,55,0,0,0,0,0
3,0,298.9,309.3,1375,42.7,58,0,0,0,0,0
1011,1,298.8,309.3,1450,44.8,63,0,0,0,0,0
7012,2,298.9,309.3,1581,30.7,65,0,0,0,0,0
1012,1,299.0,309.4,1758,25.7,68,0,0,0,0,0
7013,2,299.0,309.4,1561,37.3,70,0,0,0,0,0
1013,1,299.0,309.5,1861,23.3,73,0,0,0,0,0
1014,1,299.1,309.5,1512,39.0,75,0,0,0,0,0
4,0,299.1,309.4,1811,24.6,77,0,0,0,0,0
1015,1,299.1,309.4,1439,44.2,82,0,0,0,0,0
1016,1,299.0,309.4,1693,30.1,84,0,0,0,0,0
7014,2,299.1,309.5,1339,48.2,86,0,0,0,0,0
1017,1,299.0,309.4,1798,25.5,89,0,0,0,0,0
1018,1,299.0,309.4,1419,48.3,91,0,0,0,0,0
1019,1,298.9,309.3,1665,32.5,93,0,0,0,0,0
7015,2,298.8,309.1,1559,34.7,95,0,0,0,0,0
7016,2,298.8,309.2,1452,48.6,98,0,0,0,0,0
7017,2,298.9,309.2,1581,36.7,101,0,0,0,0,0
