dataset,target,model,positives,support,threshold,precision,recall,f1,balanced_accuracy,pr_auc,roc_auc,tn,fp,fn,tp
SECOM,manufacturing_fail,random_forest_smote@tuned_f2,21,314,0.2055754761904762,0.15789473684210525,0.7142857142857143,0.25862068965517243,0.7206240858117992,0.3068525364128624,0.8135868681943766,213,80,6,15
SECOM,manufacturing_fail,random_forest_balanced@tuned_f2,21,314,0.08510989812599702,0.14960629921259844,0.9047619047619048,0.25675675675675674,0.768080611084024,0.25700488154900325,0.8143994799284902,185,108,2,19
SECOM,manufacturing_fail,logistic_balanced@0.50,21,314,0.5,0.16279069767441862,0.3333333333333333,0.21875,0.6052332195676905,0.13518889703334655,0.6632536973833902,257,36,14,7
SECOM,manufacturing_fail,hist_gradient_weighted@tuned_f2,21,314,0.0030544555066858037,0.11920529801324503,0.8571428571428571,0.20930232558139536,0.7016089712335446,0.3252602800113309,0.8031854379977247,160,133,3,18
SECOM,manufacturing_fail,logistic_smote@tuned_f2,21,314,0.05458580496203519,0.125,0.47619047619047616,0.19801980198019803,0.6186413131805624,0.1298216542586199,0.6518771331058021,223,70,11,10
SECOM,manufacturing_fail,logistic_smote@0.50,21,314,0.5,0.15,0.2857142857142857,0.19672131147540983,0.5848366650414432,0.1298216542586199,0.6518771331058021,259,34,15,6
SECOM,manufacturing_fail,logistic_balanced@tuned_f2,21,314,0.20399346219333278,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.571103526734926,0.13518889703334655,0.6632536973833902,237,56,14,7
SECOM,manufacturing_fail,dummy_most_frequent@tuned_f2,21,314,0.0,0.06687898089171974,1.0,0.1253731343283582,0.5,0.06687898089171974,0.5,0,293,0,21
SECOM,manufacturing_fail,hist_gradient_weighted@0.50,21,314,0.5,1.0,0.047619047619047616,0.09090909090909091,0.5238095238095238,0.3252602800113309,0.8031854379977247,293,0,20,1
SECOM,manufacturing_fail,random_forest_smote@0.50,21,314,0.5,0.0,0.0,0.0,0.5,0.3068525364128624,0.8135868681943766,293,0,21,0
SECOM,manufacturing_fail,random_forest_balanced@0.50,21,314,0.5,0.0,0.0,0.0,0.5,0.25700488154900325,0.8143994799284902,293,0,21,0
SECOM,manufacturing_fail,dummy_most_frequent@0.50,21,314,0.5,0.0,0.0,0.0,0.5,0.06687898089171974,0.5,293,0,21,0
